ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
4,Denmark/Sweden,M,NA,NA,NA,Denmark/Sweden,DEN,1900 Summer,1900,Summer,Paris,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
42822,"Philadelphia Turngemeinde, Philadelphia",M,24,175,NA,"Philadelphia Turngemeinde, Philadelphia",USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Team All-Around,Gold
17,Paavo Johannes Aaltonen,M,28,175,64,Finland,FIN,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,Gold
17,Paavo Johannes Aaltonen,M,28,175,64,Finland,FIN,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
20,Kjetil Andr Aamodt,M,20,176,85,Norway,NOR,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Super G,Gold
20,Kjetil Andr Aamodt,M,30,176,85,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Super G,Gold
20,Kjetil Andr Aamodt,M,30,176,85,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Combined,Gold
20,Kjetil Andr Aamodt,M,34,176,85,Norway,NOR,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Super G,Gold
40,Roald Edgar Aas,M,31,NA,NA,Norway,NOR,1960 Winter,1960,Winter,Squaw Valley,Speed Skating,"Speed Skating Men's 1,500 metres",Gold
17688,Cobweb-1,M,26,NA,NA,Cobweb-1,GBR,1908 Summer,1908,Summer,London,Sailing,Sailing Mixed 8 metres,Gold
4029,Team Argentina,M,NA,NA,NA,Argentina,ARG,1936 Summer,1936,Summer,Berlin,Polo,Polo Men's Polo,Gold
6201,Team Argentina,M,NA,NA,NA,Argentina,ARG,2004 Summer,2004,Summer,"Athens,GR",Football,Football Men's Football,Gold
7482,Team Argentina,M,NA,NA,NA,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Gold
15770,Team Argentina,M,NA,NA,NA,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,Gold
27256,Team Argentina,M,NA,NA,NA,Argentina,ARG,2004 Summer,2004,Summer,"Athens,GR",Basketball,Basketball Men's Basketball,Gold
85,Alejandro Abascal Garca,M,28,181,82,Spain,ESP,1980 Summer,1980,Summer,Moskva,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
58740,Team Argentina,M,NA,NA,NA,Argentina,ARG,1924 Summer,1924,Summer,Paris,Polo,Polo Men's Polo,Gold
106,Agostino Abbagnale,M,29,188,96,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Double Sculls,Gold
107,Carmine Abbagnale,M,22,182,90,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Pairs,Gold
107,Carmine Abbagnale,M,26,182,90,Italy,ITA,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Pairs,Gold
108,Giuseppe Abbagnale,M,25,187,97,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Pairs,Gold
108,Giuseppe Abbagnale,M,29,187,97,Italy,ITA,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Pairs,Gold
150,Margaret Ives Abbott (-Dunne),F,23,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Golf,Golf Women's Individual,Gold
316,Zagalav Abdulbekovich Abdulbekov,M,26,160,62,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
337,Mukhammad Kadyr Abdullayev,M,26,169,63,Uzbekistan,UZB,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Light-Welterweight,Gold
339,Namiq Yadulla Abdullayev,M,29,167,55,Azerbaijan,AZE,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
359,Andrey Khakimovich Abduvaliyev,M,26,190,125,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Track and Field,Track and Field Men's Hammer Throw,Gold
404,Vesper Boat Club,M,15,NA,NA,Vesper Boat Club,USA,1900 Summer,1900,Summer,Paris,Rowing,Rowing Men's Coxed Eights,Gold
411,Gezahgne Abera,M,22,166,58,Ethiopia,ETH,2000 Summer,2000,Summer,Sydney,Track and Field,Track and Field Men's Marathon,Gold
443,Ismail Abilov (-Nizamolu),M,29,172,82,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
519,Harold Maurice Abrahams,M,24,183,75,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Track and Field,Track and Field Men's 100 metres,Gold
582,Saypulla Atavovich Absaidov,M,22,168,68,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
583,Julien Absalon,M,23,180,68,France,FRA,2004 Summer,2004,Summer,"Athens,GR",Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
583,Julien Absalon,M,27,180,68,France,FRA,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
608,Ahmad Abughaush,M,20,178,68,Jordan,JOR,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Featherweight,Gold
619,Magomedgasan Mingazhutdinovich Abushev,M,20,170,62,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
7980,Team Australasia,M,NA,NA,NA,Australasia,ANZ,1908 Summer,1908,Summer,London,Rugby,Rugby Men's Rugby,Gold
699,"Charles Edwin ""Charley"" Ackerly",M,22,NA,NA,United States,USA,1920 Summer,1920,Summer,Antwerpen,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
705,Donat Acklin,M,26,190,99,Switzerland-1,SUI,1992 Winter,1992,Winter,Albertville,Bobsleigh,Bobsleigh Men's Two,Gold
705,Donat Acklin,M,28,190,99,Switzerland-1,SUI,1994 Winter,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Two,Gold
46968,Team Australasia,M,NA,NA,NA,Australasia,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
2850,Team Australia,F,NA,NA,NA,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Gold
818,Harry Lester Adams,M,31,NA,NA,United States,USA,1912 Summer,1912,Summer,Stockholm,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Gold
832,Nicola Virginia Adams,F,29,164,51,Great Britain,GBR,2012 Summer,2012,Summer,London,Boxing,Boxing Women's Flyweight,Gold
832,Nicola Virginia Adams,F,33,164,51,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Women's Flyweight,Gold
836,Platt Adams,M,27,188,78,United States,USA,1912 Summer,1912,Summer,Stockholm,Track and Field,Track and Field Men's Standing High Jump,Gold
846,Valerie Kasanita Adams-Vili (-Price),F,23,193,120,New Zealand,NZL,2008 Summer,2008,Summer,Beijing,Track and Field,Track and Field Women's Shot Put,Gold
846,Valerie Kasanita Adams-Vili (-Price),F,27,193,120,New Zealand,NZL,2012 Summer,2012,Summer,London,Track and Field,Track and Field Women's Shot Put,Gold
850,Herbert Adamski,M,26,NA,NA,Germany,GER,1936 Summer,1936,Summer,Berlin,Rowing,Rowing Men's Coxed Pairs,Gold
4163,Team Australia,F,NA,NA,NA,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Women's Hockey,Gold
953,Franck Adisson,M,26,180,70,France-1,FRA,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold
962,"Charles ""Chuck"" Adkins",M,20,NA,NA,United States,USA,1952 Summer,1952,Summer,Helsinki,Boxing,Boxing Men's Light-Welterweight,Gold
963,Derrick Ralph Adkins,M,26,188,80,United States,USA,1996 Summer,1996,Summer,Atlanta,Track and Field,Track and Field Men's 400 metres Hurdles,Gold
13145,Carl Gustaf Bonde,M,40,NA,NA,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Equestrianism,"Equestrianism Men's Dressage, Individual",Gold
977,Erik William Adlerz,M,19,NA,NA,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Diving,Diving Men's Platform,Gold
977,Erik William Adlerz,M,19,NA,NA,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Diving,Diving Men's Plain High,Gold
980,"Rebecca ""Becky"" Adlington",F,19,179,70,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 400 metres Freestyle,Gold
980,"Rebecca ""Becky"" Adlington",F,19,179,70,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 800 metres Freestyle,Gold
9181,Team Australia,F,NA,NA,NA,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Gold
1017,Nathan Ghar-Jun Adrian,M,23,198,100,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Freestyle,Gold
9562,Team Australia,F,NA,NA,NA,Australia,AUS,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Gold
14946,Team Australia,M,NA,NA,NA,Australia,AUS,2004 Summer,2004,Summer,"Athens,GR",Hockey,Hockey Men's Hockey,Gold
1122,Andre Kirk Agassi,M,26,180,80,United States,USA,1996 Summer,1996,Summer,Atlanta,Tennis,Tennis Men's Singles,Gold
18974,Team Australia,F,NA,NA,NA,Australia,AUS,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Women's Water Polo,Gold
1173,Yannick Agnel,M,20,202,90,France,FRA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 200 metres Freestyle,Gold
1208,"Large boat, Central Naval Prep School ""Poros""-1",M,NA,NA,NA,"Large boat, Central Naval Prep School ""Poros""-1",GRE,1906 Summer,1906,Summer,"Athens,GR",Rowing,Rowing Men's 17-Man Naval Rowing Boats,Gold
1323,"Timothy Joseph ""Tim"" Ahearne",M,22,170,57,Great Britain,GBR,1908 Summer,1908,Summer,London,Track and Field,Track and Field Men's Triple Jump,Gold
1374,Tontowi Ahmad,M,29,179,72,Indonesia-1,INA,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Mixed Doubles,Gold
1378,Arne Per hman,M,23,176,64,Sweden,SWE,1948 Summer,1948,Summer,London,Track and Field,Track and Field Men's Triple Jump,Gold
115768,Team Australia,F,NA,NA,NA,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Track and Field,Track and Field Women's 4 x 100 metres Relay,Gold
1498,"Charles Benedict ""Ben"" Ainslie",M,23,183,90,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Mixed One Person Dinghy,Gold
1498,"Charles Benedict ""Ben"" Ainslie",M,27,183,90,Great Britain,GBR,2004 Summer,2004,Summer,"Athens,GR",Sailing,Sailing Men's One Person Dinghy,Gold
1498,"Charles Benedict ""Ben"" Ainslie",M,31,183,90,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Mixed One Person Dinghy,Gold
1498,"Charles Benedict ""Ben"" Ainslie",M,35,183,90,Great Britain,GBR,2012 Summer,2012,Summer,London,Sailing,Sailing Men's One Person Heavyweight Dinghy,Gold
1534,Brett Aitken,M,29,173,65,Australia,AUS,2000 Summer,2000,Summer,Sydney,Cycling,Cycling Men's Madison,Gold
1538,Union des Socits Franais de Sports Athletiques,M,NA,NA,NA,Union des Socits Franais de Sports Athletiques,FRA,1900 Summer,1900,Summer,Paris,Rugby,Rugby Men's Rugby,Gold
1540,Artur Surenovych Aivazian,M,35,177,88,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
1564,Chioma Ajunwa (-Opara),F,24,164,57,Nigeria,NGR,1996 Summer,1996,Summer,Atlanta,Track and Field,Track and Field Women's Long Jump,Gold
1579,Nasuh Akar,M,23,NA,NA,Turkey,TUR,1948 Summer,1948,Summer,London,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
1618,Ernst Gunnar kerlund,M,24,NA,NA,Sweden,SWE,1948 Summer,1948,Summer,London,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",Gold
23801,Charles William Henry Crichton,M,35,NA,NA,Dormy-1,GBR,1908 Summer,1908,Summer,London,Sailing,Sailing Mixed 6 metres,Gold
121024,Team Australia,M,NA,NA,NA,Australia,AUS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
1634,Taha Akgl,M,25,192,125,Turkey,TUR,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
1639,Albina Khamitovna Akhatova,F,29,160,55,Russia,RUS,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Gold
23694,Team Australia,F,NA,NA,NA,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
1673,John Akii-Bua,M,22,188,77,Uganda,UGA,1972 Summer,1972,Summer,Munich,Track and Field,Track and Field Men's 400 metres Hurdles,Gold
102563,Team Australia,M,NA,NA,NA,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
1858,Fehaid Al-Deehani,M,49,178,95,Individual Olympic Athletes,IOA,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Men's Double Trap,Gold
2025,Ahmed bin Hasher Al-Maktoum,M,40,175,67,United Arab Emirates,UAE,2004 Summer,2004,Summer,"Athens,GR",Shooting,Shooting Men's Double Trap,Gold
58675,Barbara Anne Kendall,F,24,168,58,New Zealand,NZL,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Women's Windsurfer,Gold
2359,Islam-Beka Said-Tsilimovich Albiyev,M,19,165,66,Russia,RUS,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold
13957,Cercle de l'Aviron Roubaix-4,M,30,NA,NA,Cercle de l'Aviron Roubaix-4,FRA,1900 Summer,1900,Summer,Paris,Rowing,Rowing Men's Coxed Fours,Gold
2381,John Robert Albrechtson,M,39,181,67,Sweden,SWE,1976 Summer,1976,Summer,Montreal,Sailing,Sailing Mixed Two Person Keelboat,Gold
2386,"Tenley Emma Albright (-Gardiner, -Blakely)",F,20,NA,NA,United States,USA,1956 Winter,1956,Winter,Cortina d'Ampezzo,Figure Skating,Figure Skating Women's Singles,Gold
2420,Andrs Aldama Cabrera,M,24,183,63,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Welterweight,Gold
2464,Jo Qesem Ayela Aleh,F,26,171,58,New Zealand,NZL,2012 Summer,2012,Summer,London,Sailing,Sailing Women's Two Person Dinghy,Gold
2469,Virgilijus Alekna,M,28,200,130,Lithuania,LTU,2000 Summer,2000,Summer,Sydney,Track and Field,Track and Field Men's Discus Throw,Gold
2469,Virgilijus Alekna,M,32,200,130,Lithuania,LTU,2004 Summer,2004,Summer,"Athens,GR",Track and Field,Track and Field Men's Discus Throw,Gold
2495,Larisa Aleksandrova-Popova,F,23,180,83,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Double Sculls,Gold
2497,Artur Aleksanyan,M,24,190,98,Armenia,ARM,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold
2511,Vasily Ivanovich Alekseyev,M,30,185,160,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold
2511,Vasily Ivanovich Alekseyev,M,34,185,160,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold
